Date,High,Low,Open,Close,Volume,Adj Close
2018-02-20,25179.009765625,24884.189453125,25124.91015625,24964.75,421510000,24964.75
2018-02-21,25267.990234375,24792.990234375,24988.060546875,24797.779296875,456070000,24797.779296875
2018-02-22,25156.720703125,24854.830078125,24855.41015625,24962.48046875,378900000,24962.48046875
2018-02-23,25313.91015625,25028.73046875,25050.509765625,25309.990234375,335420000,25309.990234375
2018-02-26,25732.80078125,25398.560546875,25403.349609375,25709.26953125,473360000,25709.26953125
2018-02-27,25800.349609375,25407.830078125,25735.779296875,25410.029296875,438390000,25410.029296875
2018-02-28,25576.150390625,25022.419921875,25485.150390625,25029.19921875,451870000,25029.19921875
2018-03-01,25185.349609375,24442.560546875,25024.0390625,24608.98046875,506280000,24608.98046875
2018-03-02,24592.4609375,24217.759765625,24394.91015625,24538.060546875,437130000,24538.060546875
2018-03-05,24961.0,24387.150390625,24471.310546875,24874.759765625,383910000,24874.759765625
2018-03-06,24995.240234375,24708.41015625,24965.890625,24884.119140625,331770000,24884.119140625
2018-03-07,24849.6796875,24535.119140625,24758.150390625,24801.359375,394070000,24801.359375
2018-03-08,24950.490234375,24703.05078125,24853.41015625,24895.2109375,327300000,24895.2109375
2018-03-09,25336.330078125,25004.890625,25004.890625,25335.740234375,371570000,25335.740234375
2018-03-12,25449.150390625,25152.01953125,25372.439453125,25178.609375,362580000,25178.609375
2018-03-13,25376.400390625,24947.5,25257.75,25007.029296875,447880000,25007.029296875
2018-03-14,25130.119140625,24668.830078125,25086.970703125,24758.119140625,356830000,24758.119140625
2018-03-15,25053.869140625,24753.2890625,24837.2890625,24873.66015625,316310000,24873.66015625
2018-03-16,25031.0,24857.08984375,24877.33984375,24946.509765625,654240000,24946.509765625
2018-03-19,24893.689453125,24453.140625,24893.689453125,24610.91015625,377990000,24610.91015625
2018-03-20,24803.609375,24650.640625,24650.640625,24727.26953125,342510000,24727.26953125
2018-03-21,24977.650390625,24655.400390625,24723.490234375,24682.310546875,343230000,24682.310546875
2018-03-22,24526.009765625,23938.740234375,24526.009765625,23957.890625,439280000,23957.890625
2018-03-23,24108.470703125,23509.060546875,23995.1796875,23533.19921875,482550000,23533.19921875
2018-03-26,24232.30078125,23741.220703125,23825.740234375,24202.599609375,479540000,24202.599609375
2018-03-27,24446.220703125,23708.73046875,24276.619140625,23857.7109375,524480000,23857.7109375
2018-03-28,24092.470703125,23728.669921875,23883.080078125,23848.419921875,530040000,23848.419921875
2018-03-29,24314.30078125,23928.130859375,23949.1796875,24103.109375,463550000,24103.109375
2018-04-02,24123.80078125,23344.51953125,24076.599609375,23644.189453125,509820000,23644.189453125
2018-04-03,24044.349609375,23664.330078125,23698.330078125,24033.359375,394130000,24033.359375
2018-04-04,24308.9609375,23523.16015625,23654.150390625,24264.30078125,388540000,24264.30078125
2018-04-05,24622.259765625,24313.91015625,24313.91015625,24505.220703125,347790000,24505.220703125
2018-04-06,24434.400390625,23738.19921875,24373.599609375,23932.759765625,395990000,23932.759765625
2018-04-09,24373.1796875,23954.830078125,24037.51953125,23979.099609375,380790000,23979.099609375
2018-04-10,24511.349609375,24198.94921875,24198.94921875,24408.0,368590000,24408.0
2018-04-11,24366.5703125,24150.869140625,24274.189453125,24189.44921875,286360000,24189.44921875
2018-04-12,24592.119140625,24302.8203125,24302.8203125,24483.05078125,336130000,24483.05078125
2018-04-13,24646.44921875,24243.740234375,24582.8203125,24360.140625,331890000,24360.140625
2018-04-16,24675.359375,24480.19921875,24483.150390625,24573.0390625,305070000,24573.0390625
2018-04-17,24858.970703125,24681.7890625,24681.7890625,24786.630859375,342410000,24786.630859375
2018-04-18,24832.5390625,24721.08984375,24820.849609375,24748.0703125,302030000,24748.0703125
2018-04-19,24762.48046875,24557.029296875,24711.30078125,24664.890625,381110000,24664.890625
2018-04-20,24678.0703125,24375.0390625,24657.390625,24462.939453125,537770000,24462.939453125
2018-04-23,24536.890625,24328.5390625,24488.0703125,24448.689453125,351030000,24448.689453125
2018-04-24,24579.939453125,23828.73046875,24579.939453125,24024.130859375,468180000,24024.130859375
2018-04-25,24146.33984375,23823.080078125,24070.19921875,24083.830078125,437100000,24083.830078125
2018-04-26,24402.4609375,24128.720703125,24128.720703125,24322.33984375,390360000,24322.33984375
2018-04-27,24359.380859375,24194.44921875,24342.140625,24311.189453125,392810000,24311.189453125
2018-04-30,24498.23046875,24163.080078125,24410.41015625,24163.150390625,416650000,24163.150390625
2018-05-01,24117.2890625,23808.189453125,24117.2890625,24099.05078125,380070000,24099.05078125
2018-05-02,24185.51953125,23886.30078125,24097.630859375,23924.98046875,385350000,23924.98046875
2018-05-03,23996.150390625,23531.310546875,23836.23046875,23930.150390625,389240000,23930.150390625
2018-05-04,24333.349609375,23778.869140625,23865.220703125,24262.509765625,329480000,24262.509765625
2018-05-07,24479.44921875,24263.419921875,24317.66015625,24357.3203125,307670000,24357.3203125
2018-05-08,24412.33984375,24198.33984375,24341.349609375,24360.2109375,344940000,24360.2109375
2018-05-09,24586.48046875,24323.869140625,24399.1796875,24542.5390625,361580000,24542.5390625
2018-05-10,24794.990234375,24575.91015625,24591.66015625,24739.529296875,304210000,24739.529296875
2018-05-11,24868.650390625,24717.5,24758.640625,24831.169921875,274150000,24831.169921875
2018-05-14,24994.189453125,24862.51953125,24879.369140625,24899.41015625,282860000,24899.41015625
2018-05-15,24809.55078125,24629.390625,24809.55078125,24706.41015625,301900000,24706.41015625
2018-05-16,24801.189453125,24672.7890625,24722.3203125,24768.9296875,280810000,24768.9296875
2018-05-17,24839.490234375,24639.400390625,24752.400390625,24713.98046875,314650000,24713.98046875
2018-05-18,24774.970703125,24664.869140625,24707.720703125,24715.08984375,269700000,24715.08984375
2018-05-21,25086.490234375,24883.060546875,24883.060546875,25013.2890625,308920000,25013.2890625
2018-05-22,25064.990234375,24812.060546875,25047.55078125,24834.41015625,288200000,24834.41015625
2018-05-23,24889.4609375,24667.119140625,24757.7109375,24886.810546875,399610000,24886.810546875
2018-05-24,24877.359375,24605.900390625,24877.359375,24811.759765625,347050000,24811.759765625
2018-05-25,24824.220703125,24687.810546875,24781.2890625,24753.08984375,257210000,24753.08984375
